,means_cv,stds_cv,folds_cv
0,0.8417508417508419,0.36559045892416786,297
1,0.8422297297297299,0.26340558768774014,148
2,0.8427609427609426,0.21407504127589985,99
3,0.8424324324324324,0.18436830828732811,74
4,0.8430169491525423,0.16278316983666297,59
5,0.8428474576271185,0.15118671520758628,50
6,0.8428935860058309,0.13845772005509369,42
7,0.8427552552552552,0.12813244227685353,37
8,0.8428731762065095,0.1212803875209601,33
9,0.8432846988402544,0.11601572203804333,30
10,0.8427609427609424,0.10982579064334225,27
11,0.8427221366204417,0.10657256644146197,25
12,0.8429692428681307,0.10200641020907049,23
13,0.8430485196442643,0.09595529014323671,21
14,0.8424983912483913,0.09237740056387396,20
15,0.842695681511471,0.09039766746031551,19
16,0.8425495057161924,0.08679240520202916,17
17,0.8417447052315473,0.082567803162425,16
18,0.8424809498493708,0.08037517272430551,15
19,0.8421824132740575,0.07814430012068097,14
20,0.8417505454118726,0.07527545889661619,13
21,0.8422643949617635,0.0717184942154213,12
22,0.8413143783514154,0.068122789264948,11
23,0.8414489724834552,0.06621324359393672,10
24,0.8414141414141415,0.062355759953847685,9
25,0.8410086920513931,0.05895750296015606,8
26,0.8403511580147637,0.054922307568282314,7
27,0.840206005634577,0.050383770813944954,6
28,0.8386706994616598,0.04568591487390973,5
29,0.836962676962677,0.03953370625196387,4
30,0.8333605414413496,0.03321295626531232,3
31,0.8241061531329987,0.02317656625017673,2
